CUSIP,mid,bidofferspread
912828M80,99-071,0-003
9128283J7,99-206,0-00+
9128283F5,100-236,0-003
912810RZ3,100-025,0-002
9128283H1,99-090,0-002
9128283L2,99-077,0-002
912828M80,99-043,0-00+
9128283J7,99-086,0-003
9128283F5,99-312,0-00+
912810RZ3,100-233,0-002
9128283H1,100-063,0-003
9128283L2,100-226,0-002
912828M80,100-28+,0-003
9128283J7,100-247,0-00+
9128283F5,99-295,0-00+
912810RZ3,100-155,0-00+
9128283H1,100-196,0-002
9128283L2,100-005,0-003
912828M80,100-253,0-00+
9128283J7,99-085,0-00+
9128283F5,100-115,0-002
912810RZ3,99-081,0-00+
9128283H1,99-122,0-002
9128283L2,99-035,0-002
912828M80,100-270,0-003
9128283J7,100-23+,0-003
9128283F5,100-116,0-002
912810RZ3,99-211,0-002
9128283H1,100-073,0-00+
9128283L2,99-01+,0-00+
912828M80,100-193,0-002
9128283J7,99-040,0-002
9128283F5,99-187,0-002
912810RZ3,100-213,0-003
9128283H1,99-295,0-002
9128283L2,99-015,0-003
912828M80,99-100,0-00+
9128283J7,99-13+,0-00+
9128283F5,99-071,0-002
912810RZ3,99-276,0-00+
9128283H1,99-046,0-002
9128283L2,100-171,0-002
912828M80,100-012,0-002
9128283J7,99-310,0-003
9128283F5,99-00+,0-00+
912810RZ3,100-177,0-002
9128283H1,99-085,0-002
9128283L2,100-031,0-002
912828M80,99-17+,0-003
9128283J7,100-017,0-00+
9128283F5,99-005,0-003
912810RZ3,100-19+,0-002
9128283H1,99-172,0-00+
9128283L2,99-267,0-003
912828M80,99-247,0-00+
9128283J7,100-151,0-003
9128283F5,100-23+,0-00+
912810RZ3,100-090,0-00+
9128283H1,99-017,0-002
9128283L2,99-022,0-00+
912828M80,100-030,0-003
9128283J7,100-016,0-00+
9128283F5,100-271,0-002
912810RZ3,99-190,0-002
9128283H1,100-266,0-003
9128283L2,99-283,0-002
912828M80,100-231,0-003
9128283J7,99-15+,0-00+
9128283F5,99-092,0-002
912810RZ3,99-24+,0-003
9128283H1,99-31+,0-003
9128283L2,100-086,0-00+
912828M80,100-123,0-002
9128283J7,99-112,0-002
9128283F5,99-015,0-003
912810RZ3,100-161,0-003
9128283H1,99-046,0-002
9128283L2,99-152,0-003
912828M80,100-071,0-002
9128283J7,99-31+,0-002
9128283F5,100-18+,0-00+
912810RZ3,99-075,0-002
9128283H1,99-223,0-00+
9128283L2,99-123,0-002
912828M80,99-190,0-002
9128283J7,99-281,0-003
9128283F5,100-181,0-003
912810RZ3,100-27+,0-00+
9128283H1,99-192,0-003
9128283L2,100-136,0-00+
912828M80,99-145,0-002
9128283J7,100-073,0-003
9128283F5,100-197,0-00+
912810RZ3,100-042,0-002
9128283H1,100-015,0-002
9128283L2,100-026,0-002
912828M80,100-226,0-002
9128283J7,100-136,0-00+
9128283F5,100-063,0-003
912810RZ3,100-122,0-002
9128283H1,100-13+,0-00+
9128283L2,100-037,0-002
912828M80,100-025,0-003
9128283J7,100-05+,0-00+
9128283F5,100-221,0-00+
912810RZ3,99-186,0-002
9128283H1,99-156,0-003
9128283L2,100-171,0-00+
912828M80,99-271,0-002
9128283J7,100-200,0-003
9128283F5,100-223,0-003
912810RZ3,99-007,0-002
9128283H1,99-305,0-002
9128283L2,99-076,0-002
912828M80,100-137,0-00+
9128283J7,100-311,0-002
9128283F5,100-137,0-002
912810RZ3,99-236,0-002
9128283H1,100-280,0-00+
9128283L2,100-136,0-003
912828M80,100-261,0-003
9128283J7,100-050,0-002
9128283F5,100-080,0-003
912810RZ3,99-313,0-003
9128283H1,100-277,0-00+
9128283L2,100-282,0-00+
912828M80,100-175,0-00+
9128283J7,100-045,0-002
9128283F5,99-280,0-002
912810RZ3,100-195,0-002
9128283H1,100-111,0-003
9128283L2,99-267,0-002
912828M80,99-040,0-00+
9128283J7,99-106,0-002
9128283F5,99-043,0-003
912810RZ3,100-062,0-002
9128283H1,99-311,0-003
9128283L2,100-245,0-002
912828M80,100-20+,0-00+
9128283J7,99-130,0-00+
9128283F5,100-216,0-002
912810RZ3,100-041,0-003
9128283H1,99-192,0-00+
9128283L2,99-050,0-002
912828M80,100-257,0-003
9128283J7,100-273,0-003
9128283F5,99-241,0-00+
912810RZ3,100-006,0-002
9128283H1,100-260,0-002
9128283L2,100-236,0-00+
912828M80,100-265,0-00+
9128283J7,100-100,0-003
9128283F5,100-281,0-003
912810RZ3,99-135,0-003
9128283H1,99-101,0-002
9128283L2,100-012,0-00+
912828M80,100-300,0-003
9128283J7,100-295,0-003
9128283F5,99-253,0-002
912810RZ3,100-022,0-003
9128283H1,99-312,0-003
9128283L2,99-197,0-003
912828M80,100-055,0-003
9128283J7,100-27+,0-00+
9128283F5,100-216,0-003
912810RZ3,99-070,0-002
9128283H1,99-246,0-00+
9128283L2,100-010,0-003
912828M80,99-062,0-003
9128283J7,99-120,0-00+
9128283F5,100-227,0-00+
912810RZ3,99-117,0-002
9128283H1,100-073,0-00+
9128283L2,99-036,0-003
912828M80,100-237,0-00+
9128283J7,99-091,0-002
9128283F5,99-122,0-00+
912810RZ3,99-252,0-002
9128283H1,99-027,0-00+
9128283L2,100-012,0-003
912828M80,100-192,0-00+
9128283J7,99-082,0-003
9128283F5,99-176,0-00+
912810RZ3,100-231,0-003
9128283H1,99-083,0-003
9128283L2,99-066,0-002
912828M80,99-086,0-00+
9128283J7,99-080,0-00+
9128283F5,99-282,0-002
912810RZ3,99-26+,0-002
9128283H1,100-026,0-002
9128283L2,99-117,0-002
912828M80,99-246,0-002
9128283J7,99-20+,0-003
9128283F5,99-216,0-003
912810RZ3,99-160,0-002
9128283H1,99-13+,0-00+
9128283L2,100-205,0-00+
912828M80,99-196,0-003
9128283J7,100-09+,0-00+
9128283F5,100-09+,0-002
912810RZ3,100-266,0-00+
9128283H1,99-017,0-002
9128283L2,99-235,0-00+
912828M80,100-022,0-003
9128283J7,99-186,0-002
9128283F5,99-030,0-002
912810RZ3,99-092,0-002
9128283H1,100-257,0-00+
9128283L2,100-225,0-003
912828M80,100-303,0-00+
9128283J7,99-166,0-002
9128283F5,100-185,0-00+
912810RZ3,100-191,0-002
9128283H1,99-065,0-00+
9128283L2,100-251,0-002
912828M80,100-096,0-002
9128283J7,99-162,0-00+
9128283F5,99-311,0-00+
912810RZ3,99-105,0-003
9128283H1,99-245,0-002
9128283L2,100-055,0-003
912828M80,100-276,0-002
9128283J7,100-113,0-00+
9128283F5,100-293,0-002
912810RZ3,99-295,0-00+
9128283H1,99-265,0-003
9128283L2,100-23+,0-003
912828M80,100-19+,0-003
9128283J7,99-165,0-00+
9128283F5,99-10+,0-003
912810RZ3,100-220,0-003
9128283H1,100-060,0-002
9128283L2,99-220,0-002
912828M80,99-255,0-002
9128283J7,100-242,0-002
9128283F5,100-233,0-003
912810RZ3,100-221,0-002
9128283H1,100-127,0-002
9128283L2,100-031,0-003
912828M80,99-11+,0-003
9128283J7,99-133,0-00+
9128283F5,100-28+,0-003
912810RZ3,100-011,0-002
9128283H1,100-191,0-002
9128283L2,99-053,0-002
912828M80,100-271,0-002
9128283J7,100-220,0-003
9128283F5,99-182,0-002
912810RZ3,99-080,0-003
9128283H1,100-042,0-002
9128283L2,99-042,0-003
912828M80,99-212,0-00+
9128283J7,99-192,0-00+
9128283F5,100-153,0-003
912810RZ3,100-146,0-00+
9128283H1,100-042,0-003
9128283L2,100-220,0-002
912828M80,100-210,0-003
9128283J7,100-206,0-00+
9128283F5,100-195,0-002
912810RZ3,100-191,0-002
9128283H1,100-156,0-002
9128283L2,99-273,0-003
912828M80,100-265,0-003
9128283J7,99-10+,0-002
9128283F5,100-090,0-00+
912810RZ3,99-236,0-002
9128283H1,99-27+,0-00+
9128283L2,100-180,0-002
912828M80,99-213,0-003
9128283J7,99-210,0-00+
9128283F5,100-043,0-003
912810RZ3,100-185,0-003
9128283H1,99-132,0-003
9128283L2,100-033,0-003
912828M80,99-147,0-00+
9128283J7,100-080,0-00+
9128283F5,100-213,0-00+
912810RZ3,99-177,0-00+
9128283H1,99-127,0-002
9128283L2,100-133,0-00+
912828M80,99-157,0-002
9128283J7,100-116,0-003
9128283F5,99-190,0-003
912810RZ3,100-222,0-002
9128283H1,100-106,0-002
9128283L2,100-050,0-002
912828M80,99-031,0-002
9128283J7,99-067,0-003
9128283F5,99-071,0-002
912810RZ3,100-090,0-003
9128283H1,100-240,0-003
9128283L2,99-250,0-00+
912828M80,99-246,0-003
9128283J7,99-145,0-00+
9128283F5,99-073,0-00+
912810RZ3,100-08+,0-003
9128283H1,100-230,0-002
9128283L2,100-312,0-002
912828M80,99-297,0-003
9128283J7,100-091,0-002
9128283F5,100-22+,0-00+
912810RZ3,100-266,0-002
9128283H1,99-13+,0-00+
9128283L2,99-311,0-002
912828M80,99-315,0-00+
9128283J7,99-095,0-00+
9128283F5,100-296,0-00+
912810RZ3,100-070,0-002
9128283H1,99-261,0-00+
9128283L2,99-175,0-00+
912828M80,99-086,0-002
9128283J7,100-000,0-003
9128283F5,100-262,0-002
912810RZ3,99-281,0-003
9128283H1,100-217,0-00+
9128283L2,99-015,0-00+
912828M80,100-246,0-00+
9128283J7,100-262,0-002
9128283F5,100-142,0-003
912810RZ3,99-202,0-00+
9128283H1,99-137,0-00+
9128283L2,99-201,0-00+
912828M80,99-103,0-003
9128283J7,99-282,0-002
9128283F5,100-23+,0-002
912810RZ3,100-046,0-002
9128283H1,99-072,0-00+
9128283L2,99-317,0-003
912828M80,100-126,0-002
9128283J7,99-235,0-003
9128283F5,100-172,0-003
912810RZ3,99-296,0-002
9128283H1,100-133,0-00+
9128283L2,99-183,0-003
912828M80,100-105,0-003
9128283J7,100-081,0-00+
9128283F5,99-036,0-002
912810RZ3,100-025,0-00+
9128283H1,99-286,0-00+
9128283L2,100-13+,0-00+
912828M80,100-105,0-00+
9128283J7,99-272,0-003
9128283F5,99-196,0-003
912810RZ3,99-311,0-003
9128283H1,99-292,0-00+
9128283L2,99-15+,0-00+
912828M80,100-310,0-00+
9128283J7,99-07+,0-002
9128283F5,99-073,0-00+
912810RZ3,100-263,0-00+
9128283H1,99-30+,0-00+
9128283L2,99-077,0-003
912828M80,100-113,0-002
9128283J7,99-241,0-00+
9128283F5,99-200,0-002
912810RZ3,100-247,0-002
9128283H1,100-036,0-003
9128283L2,99-197,0-00+
912828M80,99-252,0-002
9128283J7,100-305,0-00+
9128283F5,99-180,0-002
912810RZ3,100-097,0-002
9128283H1,100-080,0-00+
9128283L2,100-177,0-003
912828M80,100-207,0-002
9128283J7,100-230,0-003
9128283F5,99-040,0-002
912810RZ3,99-06+,0-002
9128283H1,100-09+,0-002
9128283L2,100-015,0-003
912828M80,100-050,0-003
9128283J7,99-083,0-002
9128283F5,99-136,0-003
912810RZ3,100-196,0-002
9128283H1,99-287,0-003
9128283L2,99-095,0-002
912828M80,99-140,0-00+
9128283J7,99-276,0-003
9128283F5,99-172,0-002
912810RZ3,100-276,0-00+
9128283H1,100-006,0-00+
9128283L2,99-203,0-00+
912828M80,100-090,0-002
9128283J7,100-060,0-00+
9128283F5,99-313,0-00+
912810RZ3,100-221,0-00+
9128283H1,99-316,0-002
9128283L2,99-110,0-00+
912828M80,99-146,0-00+
9128283J7,100-147,0-002
9128283F5,100-27+,0-00+
912810RZ3,100-207,0-002
9128283H1,99-140,0-002
9128283L2,100-000,0-00+
912828M80,100-206,0-002
9128283J7,100-112,0-003
9128283F5,100-110,0-00+
912810RZ3,100-08+,0-003
9128283H1,100-28+,0-002
9128283L2,99-162,0-00+
912828M80,100-027,0-003
9128283J7,99-23+,0-003
9128283F5,100-152,0-002
912810RZ3,99-305,0-002
9128283H1,99-065,0-003
9128283L2,99-012,0-002
912828M80,100-171,0-003
9128283J7,99-30+,0-003
9128283F5,99-072,0-00+
912810RZ3,100-277,0-00+
9128283H1,100-135,0-002
9128283L2,100-183,0-00+
912828M80,100-175,0-003
9128283J7,99-202,0-003
9128283F5,99-045,0-003
912810RZ3,99-24+,0-003
9128283H1,99-091,0-002
9128283L2,99-160,0-00+
912828M80,99-245,0-00+
9128283J7,99-11+,0-002
9128283F5,99-133,0-002
912810RZ3,100-126,0-003
9128283H1,99-137,0-002
9128283L2,99-16+,0-002
912828M80,100-095,0-002
9128283J7,99-021,0-002
9128283F5,100-096,0-00+
912810RZ3,100-121,0-003
9128283H1,99-106,0-002
9128283L2,99-027,0-00+
912828M80,99-301,0-003
9128283J7,100-28+,0-002
9128283F5,99-300,0-003
912810RZ3,100-203,0-00+
9128283H1,100-236,0-00+
9128283L2,100-313,0-002
912828M80,100-240,0-00+
9128283J7,99-055,0-00+
9128283F5,100-305,0-002
912810RZ3,100-286,0-002
9128283H1,99-312,0-003
9128283L2,99-097,0-002
912828M80,100-221,0-00+
9128283J7,99-303,0-003
9128283F5,99-072,0-00+
912810RZ3,100-071,0-00+
9128283H1,99-052,0-00+
9128283L2,100-053,0-002
912828M80,100-09+,0-00+
9128283J7,100-056,0-003
9128283F5,99-076,0-003
912810RZ3,99-223,0-002
