CUSIP,bidprice1,quantity,bidprice2,quantity,bidprice3,quantity,bidprice4,quantity,bidprice5,quantity,offerprice1,quantity,offerprice2,quantity,offerprice3,quantity,offerprice4,quantity,offerprice5,quantity,
9128283H1,100-28+,1000000,100-283,2000000,100-282,3000000,100-281,4000000,100-280,5000000,100-286,1000000,100-287,2000000,100-290,3000000,100-291,4000000,100-292,5000000,
9128283L2,100-23+,1000000,100-233,2000000,100-232,3000000,100-231,4000000,100-230,5000000,100-236,1000000,100-237,2000000,100-240,3000000,100-241,4000000,100-242,5000000,
912828M80,99-230,1000000,99-227,2000000,99-226,3000000,99-225,4000000,99-22+,5000000,99-232,1000000,99-233,2000000,99-23+,3000000,99-235,4000000,99-236,5000000,
9128283J7,100-313,1000000,100-312,2000000,100-311,3000000,100-310,4000000,100-307,5000000,100-315,1000000,100-316,2000000,100-317,3000000,101-000,4000000,101-001,5000000,
9128283F5,100-003,1000000,100-002,2000000,100-001,3000000,100-000,4000000,99-317,5000000,100-005,1000000,100-006,2000000,100-007,3000000,100-010,4000000,100-011,5000000,
912810RZ3,99-073,1000000,99-072,2000000,99-071,3000000,99-070,4000000,99-067,5000000,99-075,1000000,99-076,2000000,99-077,3000000,99-080,4000000,99-081,5000000,
9128283H1,99-003,1000000,99-002,2000000,99-001,3000000,99-000,4000000,99-00-1,5000000,99-005,1000000,99-006,2000000,99-007,3000000,99-010,4000000,99-011,5000000,
9128283L2,100-160,1000000,100-157,2000000,100-156,3000000,100-155,4000000,100-15+,5000000,100-162,1000000,100-163,2000000,100-16+,3000000,100-165,4000000,100-166,5000000,
912828M80,99-311,1000000,99-310,2000000,99-307,3000000,99-306,4000000,99-305,5000000,99-313,1000000,99-31+,2000000,99-315,3000000,99-316,4000000,99-317,5000000,
9128283J7,99-271,1000000,99-270,2000000,99-267,3000000,99-266,4000000,99-265,5000000,99-273,1000000,99-27+,2000000,99-275,3000000,99-276,4000000,99-277,5000000,
9128283F5,99-293,1000000,99-292,2000000,99-291,3000000,99-290,4000000,99-287,5000000,99-295,1000000,99-296,2000000,99-297,3000000,99-300,4000000,99-301,5000000,
912810RZ3,100-091,1000000,100-090,2000000,100-087,3000000,100-086,4000000,100-085,5000000,100-093,1000000,100-09+,2000000,100-095,3000000,100-096,4000000,100-097,5000000,
